year,date,home_team,away_team,home_team_goals,away_team_goals,goal_difference,winning_team,venue,attendance,referee,notes,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,officials,round,score,host,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long
1930,14-07-1930,Romania,Peru,3,1,2,Romania,"Pocitos, Montevideo",2549,Alberto Warnken,Unknown,3,0.0,0.0,1,0.0,0.0,Octav Luchide,Emerich Vogl,Francisco Bru,Plácido Galindo,Alberto Warnken (Referee) · Jean Langenus (Ar1) · Francisco Mateucci (Ar2),Group Stage,3–1,Uruguay,Adalbert Deșu · 1|Constantin Stanciu · 79|Nicolae Kovács · 89,Luis De Souza Ferreira · 75,"['1&Rsquor;|1:0|Adalbert Deșu', '79&Rsquor;|2:1|Constantin Stanciu', '89&Rsquor;|3:1|Nicolae Kovács']",['75&Rsquor;|1:1|Luis De Souza Ferreira'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Plácido Galindo · 70,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,14-07-1930,Yugoslavia,Brazil,2,1,1,Yugoslavia,"Parque Central, Montevideo",24059,Anibal Tejada,Unknown,2,0.0,0.0,1,0.0,0.0,Bosko Simonovic,Milutin Ivković,Pindaro De Carvalho,Preguinho,Anibal Tejada (Referee) · Ricardo Vallarino (Ar1) · Thomas Balway (Ar2),Group Stage,2–1,Uruguay,Aleksandar Tirnanić · 21|Ivan Bek · 30,Preguinho · 62,"['21&Rsquor;|1:0|Aleksandar Tirnanić', '30&Rsquor;|2:0|Ivan Bek']",['62&Rsquor;|2:1|Preguinho'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,26-07-1930,Argentina,United States,6,1,5,Argentina,"Estadio Centenario, Montevideo",72886,Jean Langenus,Unknown,6,0.0,0.0,1,0.0,0.0,Francisco Olazar,Manuel Ferreira,Bob Millar,Tom Florie,Jean Langenus (Referee) · Gaspar Vallejo (Ar1) · Alberto Warnken (Ar2),Semi-Finals,6–1,Uruguay,Luis Monti · 20|Alejandro Scopelli · 56|Guillermo Stábile · 69|Carlos Peucelle · 80|Carlos Peucelle · 85|Guillermo Stábile · 87,Jim Brown · 89,"['20&Rsquor;|1:0|Luis Monti', '56&Rsquor;|2:0|Alejandro Scopelli', '69&Rsquor;|3:0|Guillermo Stábile', '80&Rsquor;|4:0|Carlos Peucelle', '85&Rsquor;|5:0|Carlos Peucelle', '87&Rsquor;|6:0|Guillermo Stábile']",['89&Rsquor;|6:1|Jim Brown'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,22-07-1930,Argentina,Chile,3,1,2,Argentina,"Estadio Centenario, Montevideo",41459,Jean Langenus,Unknown,3,0.0,0.0,1,0.0,0.0,Francisco Olazar,Manuel Ferreira,Gyorgy Orth,Guillermo Subiabre,Jean Langenus (Referee) · Henry Cristophe (Ar1) · Ulises Saucedo (Ar2),Group Stage,3–1,Uruguay,Guillermo Stábile · 12|Guillermo Stábile · 13|Mario Evaristo · 51,Guillermo Subiabre · 15,"['12&Rsquor;|1:0|Guillermo Stábile', '13&Rsquor;|2:0|Guillermo Stábile', '51&Rsquor;|3:1|Mario Evaristo']",['15&Rsquor;|2:1|Guillermo Subiabre'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,21-07-1930,Uruguay,Romania,4,0,4,Uruguay,"Estadio Centenario, Montevideo",70022,Gilberto Rego,Unknown,4,0.0,0.0,0,0.0,0.0,Alberto Suppici,José Nasazzi,Octav Luchide,Emerich Vogl,Gilberto Rego (Referee) · Alberto Warnken (Ar1) · Ulises Saucedo (Ar2),Group Stage,4–0,Uruguay,Pablo Dorado · 7|Héctor Scarone · 24|Peregrino Anselmo · 30|Pedro Cea · 35,Unknown,"['7&Rsquor;|1:0|Pablo Dorado', '24&Rsquor;|2:0|Héctor Scarone', '30&Rsquor;|3:0|Peregrino Anselmo', '35&Rsquor;|4:0|Pedro Cea']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,20-07-1930,Brazil,Bolivia,4,0,4,Brazil,"Estadio Centenario, Montevideo",25466,Thomas Balway,Unknown,4,0.0,0.0,0,0.0,0.0,Pindaro De Carvalho,Preguinho,Ulises Saucedo,Rafael Méndez,Thomas Balway (Referee) · Francisco Mateucci (Ar1) · Gaspar Vallejo (Ar2),Group Stage,4–0,Uruguay,Moderato Wisintainer · 37|Preguinho · 67|Moderato Wisintainer · 73|Preguinho · 83,Unknown,"['37&Rsquor;|1:0|Moderato Wisintainer', '67&Rsquor;|2:0|Preguinho', '73&Rsquor;|3:0|Moderato Wisintainer', '83&Rsquor;|4:0|Preguinho']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,20-07-1930,Paraguay,Belgium,1,0,1,Paraguay,"Estadio Centenario, Montevideo",12000,Ricardo Vallarino,Unknown,1,0.0,0.0,0,0.0,0.0,Jose Durand Laguna,Luis Vargas Peña,Hector Goetinck,Pierre Braine,Ricardo Vallarino (Referee) · Jose Macias (Ar1) · Domingo Lombardi (Ar2),Group Stage,1–0,Uruguay,Luis Vargas Peña · 40,Unknown,['40&Rsquor;|1:0|Luis Vargas Peña'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,19-07-1930,Chile,France,1,0,1,Chile,"Estadio Centenario, Montevideo",2000,Anibal Tejada,Unknown,1,0.0,0.0,0,0.0,0.0,Gyorgy Orth,Carlos Schneeberger,Raoul Caudron,Alexandre Villaplane,Anibal Tejada (Referee) · Domingo Lombardi (Ar1) · Gilberto Rego (Ar2),Group Stage,1–0,Uruguay,Guillermo Subiabre · 65,Unknown,['65&Rsquor;|1:0|Guillermo Subiabre'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,30-07-1930,Uruguay,Argentina,4,2,2,Uruguay,"Estadio Centenario, Montevideo",68346,Jean Langenus,Unknown,4,0.0,0.0,2,0.0,0.0,Alberto Suppici,José Nasazzi,Francisco Olazar,Manuel Ferreira,Jean Langenus (Referee) · Ulises Saucedo (Ar1) · Henry Cristophe (Ar2),Final,4–2,Uruguay,Pablo Dorado · 12|Pedro Cea · 57|Santos Iriarte · 68|Héctor Castro · 89,Carlos Peucelle · 20|Guillermo Stábile · 37,"['12&Rsquor;|1:0|Pablo Dorado', '57&Rsquor;|2:2|Pedro Cea', '68&Rsquor;|3:2|Santos Iriarte', '89&Rsquor;|4:2|Héctor Castro']","['20&Rsquor;|1:1|Carlos Peucelle', '37&Rsquor;|1:2|Guillermo Stábile']",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1930,27-07-1930,Uruguay,Yugoslavia,6,1,5,Uruguay,"Estadio Centenario, Montevideo",79867,Gilberto Rego,Unknown,6,0.0,0.0,1,0.0,0.0,Alberto Suppici,José Nasazzi,Bosko Simonovic,Milutin Ivković,Gilberto Rego (Referee) · Ulises Saucedo (Ar1) · Thomas Balway (Ar2),Semi-Finals,6–1,Uruguay,Pedro Cea · 18|Peregrino Anselmo · 20|Peregrino Anselmo · 31|Santos Iriarte · 61|Pedro Cea · 67|Pedro Cea · 72,Đorđe Vujadinović · 4,"['18&Rsquor;|1:1|Pedro Cea', '20&Rsquor;|2:1|Peregrino Anselmo', '31&Rsquor;|3:1|Peregrino Anselmo', '61&Rsquor;|4:1|Santos Iriarte', '67&Rsquor;|5:1|Pedro Cea', '72&Rsquor;|6:1|Pedro Cea']",['4&Rsquor;|0:1|Đorđe Vujadinović'],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
